Nu,Mu,Alpha
0.33499999999999996,0.9,-55.0
0.355,1.0,-50.0
0.33499999999999996,0.9,-50.0
0.355,1.0,-45.0
0.33499999999999996,0.9,-45.0
0.355,1.0,-40.0
0.33499999999999996,0.9,-40.0
0.355,1.0,-35.0
0.33499999999999996,0.9,-35.0
0.355,1.0,-30.0
0.33499999999999996,0.9,-30.0
0.355,1.0,-25.0
0.33499999999999996,0.9,-25.0
0.355,1.0,-20.0
0.33499999999999996,0.9,-20.0
0.355,1.0,-15.0
0.33499999999999996,0.9,-15.0
0.355,1.0,-10.0
0.33499999999999996,1.0,-60.0
0.355,1.1,-55.0
0.33499999999999996,1.0,-55.0
0.355,1.1,-50.0
0.33499999999999996,1.0,-50.0
0.355,1.1,-45.0
0.33499999999999996,1.0,-45.0
0.355,1.1,-40.0
0.33499999999999996,1.0,-40.0
0.355,1.1,-35.0
0.33499999999999996,1.0,-35.0
0.355,1.1,-30.0
0.33499999999999996,1.0,-30.0
0.355,1.1,-25.0
0.33499999999999996,1.0,-25.0
0.355,1.1,-20.0
0.33499999999999996,1.0,-20.0
0.355,1.1,-15.0
0.33499999999999996,1.0,-15.0
0.355,1.1,-10.0
0.355,0.1,-60.0
0.375,0.2,-55.0
0.355,0.1,-55.0
0.375,0.2,-50.0
0.355,0.1,-50.0
0.375,0.2,-45.0
0.355,0.1,-45.0
0.375,0.2,-40.0
0.355,0.1,-40.0
0.375,0.2,-35.0
0.355,0.1,-35.0
0.375,0.2,-30.0
0.355,0.1,-30.0
0.375,0.2,-25.0
0.355,0.1,-25.0
0.375,0.2,-20.0
0.355,0.1,-20.0
0.375,0.2,-15.0
0.355,0.1,-15.0
0.375,0.2,-10.0
0.355,0.2,-60.0
0.375,0.30000000000000004,-55.0
0.355,0.2,-55.0
0.375,0.30000000000000004,-50.0
0.355,0.2,-50.0
0.375,0.30000000000000004,-45.0
0.355,0.2,-45.0
0.375,0.30000000000000004,-40.0
0.355,0.2,-40.0
0.375,0.30000000000000004,-35.0
0.355,0.2,-35.0
0.375,0.30000000000000004,-30.0
0.355,0.2,-30.0
0.375,0.30000000000000004,-25.0
0.355,0.2,-25.0
0.375,0.30000000000000004,-20.0
0.355,0.2,-20.0
0.375,0.30000000000000004,-15.0
0.355,0.2,-15.0
0.375,0.30000000000000004,-10.0
0.355,0.30000000000000004,-60.0
0.375,0.4,-55.0
0.355,0.30000000000000004,-55.0
0.375,0.4,-50.0
0.355,0.30000000000000004,-50.0
0.375,0.4,-45.0
0.355,0.30000000000000004,-45.0
0.375,0.4,-40.0
0.355,0.30000000000000004,-40.0
0.375,0.4,-35.0
0.355,0.30000000000000004,-35.0
0.375,0.4,-30.0
0.355,0.30000000000000004,-30.0
0.375,0.4,-25.0
0.355,0.30000000000000004,-25.0
0.375,0.4,-20.0
0.355,0.30000000000000004,-20.0
0.375,0.4,-15.0
0.355,0.30000000000000004,-15.0
0.375,0.4,-10.0
0.355,0.4,-60.0
0.375,0.5,-55.0
0.355,0.4,-55.0
0.375,0.5,-50.0
0.355,0.4,-50.0
0.375,0.5,-45.0
0.355,0.4,-45.0
0.375,0.5,-40.0
0.355,0.4,-40.0
0.375,0.5,-35.0
0.355,0.4,-35.0
0.375,0.5,-30.0
0.355,0.4,-30.0
0.375,0.5,-25.0
0.355,0.4,-25.0
0.375,0.5,-20.0
0.355,0.4,-20.0
0.375,0.5,-15.0
0.355,0.4,-15.0
0.375,0.5,-10.0
0.355,0.5,-60.0
0.375,0.6,-55.0
0.355,0.5,-55.0
0.375,0.6,-50.0
0.355,0.5,-50.0
0.375,0.6,-45.0
0.355,0.5,-45.0
0.375,0.6,-40.0
0.355,0.5,-40.0
0.375,0.6,-35.0
0.355,0.5,-35.0
0.375,0.6,-30.0
0.355,0.5,-30.0
0.375,0.6,-25.0
0.355,0.5,-25.0
0.375,0.6,-20.0
0.355,0.5,-20.0
0.375,0.6,-15.0
0.355,0.5,-15.0
0.375,0.6,-10.0
0.355,0.6,-60.0
0.375,0.7000000000000001,-55.0
0.355,0.6,-55.0
0.375,0.7000000000000001,-50.0
0.355,0.6,-50.0
0.375,0.7000000000000001,-45.0
0.355,0.6,-45.0
0.375,0.7000000000000001,-40.0
0.355,0.6,-40.0
0.375,0.7000000000000001,-35.0
0.355,0.6,-35.0
0.375,0.7000000000000001,-30.0
0.355,0.6,-30.0
0.375,0.7000000000000001,-25.0
0.355,0.6,-25.0
0.375,0.7000000000000001,-20.0
0.355,0.6,-20.0
0.375,0.7000000000000001,-15.0
0.355,0.6,-15.0
0.375,0.7000000000000001,-10.0
0.355,0.7000000000000001,-60.0
0.375,0.8,-55.0
0.355,0.7000000000000001,-55.0
0.375,0.8,-50.0
0.355,0.7000000000000001,-50.0
0.375,0.8,-45.0
0.355,0.7000000000000001,-45.0
0.375,0.8,-40.0
0.355,0.7000000000000001,-40.0
0.375,0.8,-35.0
0.355,0.7000000000000001,-35.0
0.375,0.8,-30.0
0.355,0.7000000000000001,-30.0
0.375,0.8,-25.0
0.355,0.7000000000000001,-25.0
0.375,0.8,-20.0
0.355,0.7000000000000001,-20.0
0.375,0.8,-15.0
0.355,0.7000000000000001,-15.0
0.375,0.8,-10.0
0.355,0.8,-60.0
0.375,0.9,-55.0
0.355,0.8,-55.0
0.375,0.9,-50.0
0.355,0.8,-50.0
0.375,0.9,-45.0
0.355,0.8,-45.0
0.375,0.9,-40.0
0.355,0.8,-40.0
0.375,0.9,-35.0
0.355,0.8,-35.0
0.375,0.9,-30.0
0.355,0.8,-30.0
0.375,0.9,-25.0
0.355,0.8,-25.0
0.375,0.9,-20.0
0.355,0.8,-20.0
0.375,0.9,-15.0
0.355,0.8,-15.0
0.375,0.9,-10.0
0.355,0.9,-60.0
0.375,1.0,-55.0
0.355,0.9,-55.0
0.375,1.0,-50.0
0.355,0.9,-50.0
0.375,1.0,-45.0
0.355,0.9,-45.0
0.375,1.0,-40.0
0.355,0.9,-40.0
0.375,1.0,-35.0
0.355,0.9,-35.0
0.375,1.0,-30.0
0.355,0.9,-30.0
0.375,1.0,-25.0
0.355,0.9,-25.0
0.375,1.0,-20.0
0.355,0.9,-20.0
0.375,1.0,-15.0
0.355,0.9,-15.0
0.375,1.0,-10.0
0.355,1.0,-60.0
0.375,1.1,-55.0
0.355,1.0,-55.0
0.375,1.1,-50.0
0.355,1.0,-50.0
0.375,1.1,-45.0
0.355,1.0,-45.0
0.375,1.1,-40.0
0.355,1.0,-40.0
0.375,1.1,-35.0
0.355,1.0,-35.0
0.375,1.1,-30.0
0.355,1.0,-30.0
0.375,1.1,-25.0
0.355,1.0,-25.0
0.375,1.1,-20.0
0.355,1.0,-20.0
0.375,1.1,-15.0
0.355,1.0,-15.0
0.375,1.1,-10.0
0.375,0.1,-60.0
0.395,0.2,-55.0
0.375,0.1,-55.0
0.395,0.2,-50.0
